City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,6,PF,1607548880,77,-23.12,-134.97,77.5,15.95
Lohārdagā,0,IN,1607548881,54,23.43,84.68,57.76,2.68
Longyearbyen,75,SJ,1607548881,79,78.22,15.64,26.6,8.05
Aykhal,0,RU,1607548881,58,66.0,111.5,-40.0,4.47
Arraial do Cabo,75,BR,1607548881,94,-22.97,-42.03,75.2,10.29
Puerto Ayora,75,EC,1607548827,69,-0.74,-90.35,78.8,12.75
Jamestown,90,US,1607548881,95,42.1,-79.24,35.01,9.17
Evanston,20,US,1607548863,50,42.04,-87.69,53.6,6.93
Clarence Town,0,AU,1607548881,88,-32.58,151.78,70.0,5.82
Hong Kong,82,HK,1607548851,88,22.29,114.16,66.0,5.01
Albany,99,US,1607548698,75,42.6,-73.97,32.0,2.53
Mahalapye,16,BW,1607548629,49,-23.1,26.81,76.28,11.45
Busselton,0,AU,1607548882,88,-33.65,115.33,61.0,12.95
Morón,0,AR,1607548747,36,-34.65,-58.62,91.4,10.29
Saint-Philippe,20,RE,1607548882,83,-21.36,55.77,73.4,20.8
Punta Arenas,75,CL,1607548744,47,-53.15,-70.92,57.2,16.11
Hermanus,43,ZA,1607548882,94,-34.42,19.23,60.01,1.32
Bequimão,75,BR,1607548883,78,-2.45,-44.78,82.4,14.99
Praia,75,CV,1607548883,69,14.92,-23.51,73.4,17.22
Grindavik,0,IS,1607548883,80,63.84,-22.43,35.6,19.46
Reconquista,0,AR,1607548883,45,-29.15,-59.65,87.26,6.96
Provideniya,0,RU,1607548883,71,64.38,-173.3,5.0,4.43
Oussouye,0,SN,1607548883,78,12.48,-16.55,75.2,4.7
Pitimbu,20,BR,1607548883,74,-7.47,-34.81,80.6,10.29
Plouzané,100,FR,1607548848,100,48.38,-4.62,51.8,19.46
Gōtsuchō,3,JP,1607548884,77,35.0,132.22,46.69,4.92
Ushuaia,90,AR,1607548695,93,-54.8,-68.3,48.2,6.93
Popondetta,38,PG,1607548884,80,-8.75,148.25,78.01,2.44
Coyhaique,75,CL,1607548884,58,-45.58,-72.07,57.2,9.17
Bredasdorp,67,ZA,1607548884,93,-34.53,20.04,60.8,3.36
Cidreira,2,BR,1607548884,77,-30.18,-50.21,71.2,8.3
Hilo,1,US,1607548621,61,19.73,-155.09,80.6,6.93
Salihli,55,TR,1607548885,64,38.48,28.15,53.22,3.56
Ostrovnoy,3,RU,1607548885,94,68.05,39.51,24.51,30.09
